local_memory,step1,step2,step3,step4,step5,step6,step7,step8,step9,total
1,4.497,38.692,42.385,4.392,98.691,31.999,6.658,44.802,43.457,308.914
3,3.367,25.315,28.886,3.086,72.973,28.924,4.286,18.469,17.930,198.949
5,3.302,21.978,24.228,2.460,65.267,25.260,4.277,9.128,8.299,159.922
7,3.237,21.141,20.856,2.123,62.779,25.408,4.262,8.475,6.614,150.635
9,3.254,20.793,18.312,2.072,55.653,26.937,4.243,7.668,6.006,140.694
11,3.233,19.600,16.441,2.028,50.389,28.234,4.264,7.643,6.002,133.570
13,3.245,18.539,14.791,1.621,44.540,25.485,5.885,7.514,6.022,121.755
15,2.391,17.154,13.314,2.763,38.544,7.214,6.146,10.619,6.057,98.056
17,2.391,9.433,11.758,1.639,32.335,7.147,4.152,11.252,6.742,82.698
19,2.390,5.207,9.575,1.373,29.004,7.548,4.164,7.154,5.999,68.250
21,2.394,3.502,4.655,1.464,31.841,7.156,4.163,7.021,6.004,64.036
23,2.392,3.499,4.065,1.351,27.983,7.785,4.157,6.922,6.021,60.019
25,2.388,3.499,4.065,1.347,18.701,8.898,4.152,6.502,6.002,51.401
27,2.392,3.505,4.069,1.351,13.905,7.639,4.153,6.506,5.998,45.365
29,2.388,3.501,4.066,1.348,6.769,6.759,4.153,6.501,6.000,37.332
31,2.392,3.497,4.067,1.351,6.551,6.740,4.148,6.500,6.006,37.103
