ratio,avg_exe,e1,e2,e3,e4,e5
0.05,841.919407,825.110127,838.748744,839.735595,847.273882,966.87501
0.1,583.8941713333332,574.702634,579.959433,584.91144,586.8116409999999,586.9237959999999
0.15,322.5062476666667,316.277875,319.08102,322.038833,326.39889,329.030421
0.2,82.30886600000001,82.156754,82.224851,82.343268,82.358479,82.400259
0.25,14.961442333333332,14.832676,14.926997,14.968645,14.988685,15.09916
0.3,12.683519666666667,12.595613,12.653086,12.654219999999999,12.743253000000001,12.745859000000001
0.35,12.202710000000002,12.171823,12.180132,12.212273,12.215725,12.224118
0.4,11.886214666666666,11.830295,11.865466,11.890361,11.902816999999999,11.916309
0.45,11.789167999999998,11.716564,11.759532,11.795553,11.812419,11.81401
0.5,11.721126666666668,11.651313,11.713773,11.723602999999999,11.726004000000001,11.727979
0.55,11.744405999999998,11.687741,11.732899999999999,11.734565,11.765753,11.780353999999999
0.6,11.464608333333336,11.396169,11.433468000000001,11.45218,11.508177,11.512437
0.65,11.506504666666666,11.482485,11.483915000000001,11.488543,11.547056000000001,11.550597
0.7,11.349452,11.318114,11.343503,11.34528,11.359573000000001,11.368065
0.75,11.235394333333332,11.214473,11.22361,11.230658,11.251915,11.350939
0.8,11.13417,11.127599,11.132836,11.134146000000001,11.135528,11.158850000000001
0.85,10.181890666666666,10.100430000000001,10.166383,10.183394,10.195895,10.200858
0.9,9.133235666666666,9.122266999999999,9.123332,9.131091,9.145284,9.157675999999999
0.95,8.209494333333334,8.157686,8.197098,8.200319,8.231066,8.252061
1.0,1.7775663333333334,1.776737,1.7771320000000002,1.777646,1.777921,1.778656
